what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1483957745154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483957755260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483957850840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1483957850847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483957860061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1483957911988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958010595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958012136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958013849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1483958018467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958123650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958147170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1483958147178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1483958151124
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483958153886
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1483958154682
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1483958159469
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483958161898
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1483958165107
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1483958171426
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1483958171457
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1483958172766
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1483958172766
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1483958174984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958176105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1483958177643
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1483958179866
